Id_Entità;Altri antiquari;Collaboratori;Clienti
AC;AP SE_II CO_III ST;C_44;CL_8 CL_57
AL;;C_7;CL_22
AN-EF;;C_11 C_30 C_68;
AP;AC ZA DI SE_II SA_I;C_11 C_51 C_30;
BA_I;;C_68 C_11 C_32;
BA_II;CI VO_I FE BE_I GR;;CL_61
BA_III;SI;C_24 C_50 C_66;CL_3 CL_4 CL_19 CL_31 CL_32 CL_33 CL_34 CL_49 CL_60 CL_61
BA_IV;;C_66;
BE_I;BA_II;;
BE_II;CO_I;C_38 C_20;
BO;;;CL_27
BR_I;BR_II;;
BR_II;BR_I;C_37 C_53;CL_25
CA_I;SA_III;C_57;CL_1 CL_2 CL_5 CL_9 CL_10 CL_20 CL_28 CL_29 CL_38 CL_48 CL_54 CL_62 
CA_II;SI CO_II;;
CI;BA_II CO_III;;CL_61
CO_I;BE_II PO_I VO_II;C_7 C_20 C_25 C_37 C_42  C_39 C_62 C_64 C_66 C_68 ;CL_35
CO_II;CA_II;;
CO_III;GR CI AC;;CL_15 CL_17 CL_61 CL_51 CL_47 
CR;;;
DE;;;
DI;AP;C_5 C_11 C_16  C_18 C_30  C_68 ;
FE;BA_II;;CL_6 CL_46 CL_59  CL_61 
FR;SA_I;;
GA;;;
GI;;;
GR;BA_II CO_III;C_68;CL_39 CL_40 CL_62 C_59 C_55
GU-BR;LA_I;;CL_7 CL_26 CL_64  
IM;RA;;CL_48
JA;JA-TA TA;;CL_16 CL_37
JA-TA;JA TA;;
LA_I;GU-BR;C_5 C_31 C_59 ;
LA_II;;C_7 C_63 C_19  C_15 C_65 C_10_1 C_10_2 C_10_3 ;
MO;;C_11 C_46 C_68 ;
NI;;C_25 C_37 C_46 ;
OR;;;
PA_I;RU;;CL_65 CL_14 
PA_II;;C_7 C_19 C_61 C_3 C_34 C_2 ;CL_30 CL_36 CL_41 CL_62
PI;;;
PO_I;CO_I;;
PO_II;;C_36 C_45 C_46;
RA;IM;;
RO;;C_66 C_7;
RU;PA_I;C_17 C_52;
SA_I;FR AP;C_68 C_37  C_7  C_42 C_48 C_33 ;CL_23 CL_52 CL_53 CL_18 C_58
SA_II;;C_1 C_22 C_55;CL_17 CL_21 CL_43 CL_54 CL_63
SA_III;CA_I;;
SA_IV;;C_39 C_50 C_57 C_63;
SE_I;;;
SE_II;AC AP;C_8 C_21 C_5 C_51 C_11 C_14 C_23  C_9 C_43 C_68 C_14_b C_30 ;
SI;BA_III CA_II;;CL_15 CL_61
ST;AC;C_13 C_28 C_4 C_37 C_25 C_7 C_4 C_26;CL_11
TA;JA JA-TA;;
TO;;;
VI_I;BA_II;C_41_b C_38_b;
VI_II;CO_I;C_68;
VI_III;;;
VO_I;;C_1 C_12 C_7;CL_24 CL_54 CL_48
VO_II;;C_35 C_40 C_41 C_67;CL_35 CL_55
ZA;AP;C_68;
;;;
;;;
;;;
;;;
;;;
;;;
